districtname,aun,dataelement,displayvalue
Palmyra Area SD,113385303,American Indian/Alaskan Native ,0.08
Palmyra Area SD,113385303,Asian ,4.12
Palmyra Area SD,113385303,Black/African American ,1.33
Palmyra Area SD,113385303,Career and Technical Center Name,Lebanon County CTC
Palmyra Area SD,113385303,Career and Technical Center Website,http://www.lcctc.edu
Palmyra Area SD,113385303,Charter School Enrollment,91
Palmyra Area SD,113385303,District Address (City),Palmyra
Palmyra Area SD,113385303,District Address (State),PA
Palmyra Area SD,113385303,District Address (Street),1125 Park Dr
Palmyra Area SD,113385303,District Enrollment,3616
Palmyra Area SD,113385303,District Name,Palmyra Area SD
Palmyra Area SD,113385303,District Zip Code,17078
Palmyra Area SD,113385303,Economically Disadvantaged,21.46
Palmyra Area SD,113385303,English Learner,1.33
Palmyra Area SD,113385303,Enrollment in Partnering Career and Technical Center(s),79
Palmyra Area SD,113385303,Female,49.47
Palmyra Area SD,113385303,Foster Care,0.33
Palmyra Area SD,113385303,Geographic Size of District (Square Miles),37.07
Palmyra Area SD,113385303,Grades Offered,"K5H, K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
Palmyra Area SD,113385303,Hispanic ,5.95
Palmyra Area SD,113385303,Homeless,0.47
Palmyra Area SD,113385303,Intermediate Unit Name,Lancaster-Lebanon IU 13
Palmyra Area SD,113385303,Intermediate Unit Website,http://www.iu13.org
Palmyra Area SD,113385303,Male,50.53
Palmyra Area SD,113385303,Military Connected,0
Palmyra Area SD,113385303,Native Hawaiian or other Pacific Islander ,0.08
Palmyra Area SD,113385303,Number of Schools,6
Palmyra Area SD,113385303,Percent of Gifted Students,0
Palmyra Area SD,113385303,Special Education,16.84
Palmyra Area SD,113385303,Telephone Number,717-838-3144
Palmyra Area SD,113385303,Website,http://www.pasd.us
Palmyra Area SD,113385303,White ,84.43
Panther Valley SD,121136603,2 or More Races,5.36
Panther Valley SD,121136603,American Indian/Alaskan Native ,0.25
Panther Valley SD,121136603,Asian ,0.43
Panther Valley SD,121136603,Black/African American ,4.32
Panther Valley SD,121136603,Career and Technical Center Name,Carbon Career & Technical Institute
Panther Valley SD,121136603,Career and Technical Center Website,http://www.carboncti.org
Panther Valley SD,121136603,Charter School Enrollment,138
Panther Valley SD,121136603,District Address (City),Lansford
Panther Valley SD,121136603,District Address (State),PA
Panther Valley SD,121136603,District Address (Street),1 Panther Way
Panther Valley SD,121136603,District Enrollment,1622
Panther Valley SD,121136603,District Name,Panther Valley SD
Panther Valley SD,121136603,District Zip Code,18232
Panther Valley SD,121136603,Economically Disadvantaged,56.35
Panther Valley SD,121136603,English Learner,1.54
Panther Valley SD,121136603,Enrollment in Partnering Career and Technical Center(s),81
Panther Valley SD,121136603,Female,47.1
Panther Valley SD,121136603,Foster Care,0.55
Panther Valley SD,121136603,Geographic Size of District (Square Miles),34.37
Panther Valley SD,121136603,Grades Offered,"K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
Panther Valley SD,121136603,Hispanic ,10.3
Panther Valley SD,121136603,Homeless,1.66
Panther Valley SD,121136603,Intermediate Unit Name,Carbon-Lehigh IU 21
Panther Valley SD,121136603,Intermediate Unit Website,http://www.cliu.org
Panther Valley SD,121136603,Male,52.9
Panther Valley SD,121136603,Military Connected,0.25
Panther Valley SD,121136603,Native Hawaiian or other Pacific Islander ,0.06
Panther Valley SD,121136603,Number of Schools,3
Panther Valley SD,121136603,Percent of Gifted Students,1.6
Panther Valley SD,121136603,Special Education,21.02
Panther Valley SD,121136603,Telephone Number,570-645-4248
Panther Valley SD,121136603,Website,http://www.panthervalley.org
Panther Valley SD,121136603,White ,79.28
Parkland SD,121395103,2 or More Races,3.27
Parkland SD,121395103,American Indian/Alaskan Native ,0.05
Parkland SD,121395103,Asian ,13.13
Parkland SD,121395103,Black/African American ,4.93
Parkland SD,121395103,Career and Technical Center Name,Lehigh Career & Technical Institute
Parkland SD,121395103,Career and Technical Center Website,http://www.lcti.org
Parkland SD,121395103,Charter School Enrollment,286
Parkland SD,121395103,District Address (City),Allentown
Parkland SD,121395103,District Address (State),PA
Parkland SD,121395103,District Address (Street),1210 Springhouse Rd
Parkland SD,121395103,District Enrollment,9642
Parkland SD,121395103,District Name,Parkland SD
Parkland SD,121395103,District Zip Code,18104
Parkland SD,121395103,Economically Disadvantaged,27.37
Parkland SD,121395103,English Learner,3.09
Parkland SD,121395103,Enrollment in Partnering Career and Technical Center(s),405
Parkland SD,121395103,Female,48.81
Parkland SD,121395103,Foster Care,0.26
Parkland SD,121395103,Geographic Size of District (Square Miles),72.06
Parkland SD,121395103,Grades Offered,"K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
Parkland SD,121395103,Hispanic ,15.33
Parkland SD,121395103,Homeless,0.43
Parkland SD,121395103,Intermediate Unit Name,Carbon-Lehigh IU 21
Parkland SD,121395103,Intermediate Unit Website,http://www.cliu.org
Parkland SD,121395103,Male,51.19
Parkland SD,121395103,Military Connected,0.43
Parkland SD,121395103,Native Hawaiian or other Pacific Islander ,0.09
Parkland SD,121395103,Number of Schools,11
Parkland SD,121395103,Percent of Gifted Students,6.23
Parkland SD,121395103,Special Education,14.93
Parkland SD,121395103,Telephone Number,610-351-5503
Parkland SD,121395103,Website,https://www.parklandsd.org/
Parkland SD,121395103,White ,63.2
Pen Argyl Area SD,120485603,2 or More Races,2.88
Pen Argyl Area SD,120485603,American Indian/Alaskan Native ,0.13
Pen Argyl Area SD,120485603,Asian ,1.01
Pen Argyl Area SD,120485603,Black/African American ,1.47
Pen Argyl Area SD,120485603,Career and Technical Center Name,Career Institute of Technology
Pen Argyl Area SD,120485603,Career and Technical Center Website,http://www.citvt.com
Pen Argyl Area SD,120485603,Charter School Enrollment,63
Pen Argyl Area SD,120485603,District Address (City),Pen Argyl
Pen Argyl Area SD,120485603,District Address (State),PA
Pen Argyl Area SD,120485603,District Address (Street),1620 Teels Rd
Pen Argyl Area SD,120485603,District Enrollment,1492
Pen Argyl Area SD,120485603,District Name,Pen Argyl Area SD
Pen Argyl Area SD,120485603,District Zip Code,18072
Pen Argyl Area SD,120485603,Economically Disadvantaged,39.61
Pen Argyl Area SD,120485603,English Learner,2.14
Pen Argyl Area SD,120485603,Enrollment in Partnering Career and Technical Center(s),70
Pen Argyl Area SD,120485603,Female,50.6
Pen Argyl Area SD,120485603,Foster Care,0.4
Pen Argyl Area SD,120485603,Geographic Size of District (Square Miles),27.74
Pen Argyl Area SD,120485603,Grades Offered,"K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
Pen Argyl Area SD,120485603,Hispanic ,4.89
Pen Argyl Area SD,120485603,Homeless,0.4
Pen Argyl Area SD,120485603,Intermediate Unit Name,Colonial IU 20
Pen Argyl Area SD,120485603,Intermediate Unit Website,http://www.ciu20.org
Pen Argyl Area SD,120485603,Male,49.4
Pen Argyl Area SD,120485603,Military Connected,0.34
Pen Argyl Area SD,120485603,Native Hawaiian or other Pacific Islander ,0
Pen Argyl Area SD,120485603,Number of Schools,3
Pen Argyl Area SD,120485603,Percent of Gifted Students,0
Pen Argyl Area SD,120485603,Special Education,17.69
Pen Argyl Area SD,120485603,Telephone Number,610-863-3191
Pen Argyl Area SD,120485603,Website,http://www.penargylschooldistrict.org/penargyl/
Pen Argyl Area SD,120485603,White ,89.61
Penn Cambria SD,108116003,2 or More Races,1.96
Penn Cambria SD,108116003,American Indian/Alaskan Native ,0.18
Penn Cambria SD,108116003,Asian ,0.31
Penn Cambria SD,108116003,Black/African American ,0.37
Penn Cambria SD,108116003,Career and Technical Center Name,Admiral Peary AVTS
Penn Cambria SD,108116003,Career and Technical Center Website,http://www.admiralpeary.tec.pa.us
Penn Cambria SD,108116003,Charter School Enrollment,31
Penn Cambria SD,108116003,District Address (City),Cresson
Penn Cambria SD,108116003,District Address (State),PA
Penn Cambria SD,108116003,District Address (Street),201 6th St
Penn Cambria SD,108116003,District Enrollment,1631
Penn Cambria SD,108116003,District Name,Penn Cambria SD
Penn Cambria SD,108116003,District Zip Code,16630
Penn Cambria SD,108116003,Economically Disadvantaged,45
Penn Cambria SD,108116003,English Learner,0.06
Penn Cambria SD,108116003,Enrollment in Partnering Career and Technical Center(s),155
Penn Cambria SD,108116003,Female,48.8
Penn Cambria SD,108116003,Foster Care,0.31
Penn Cambria SD,108116003,Geographic Size of District (Square Miles),109.79
Penn Cambria SD,108116003,Grades Offered,"PreKF, K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
Penn Cambria SD,108116003,Hispanic ,0.92
Penn Cambria SD,108116003,Homeless,1.04
Penn Cambria SD,108116003,Intermediate Unit Name,Appalachia IU 8
Penn Cambria SD,108116003,Intermediate Unit Website,http://www.iu08.org
Penn Cambria SD,108116003,Male,51.2
Penn Cambria SD,108116003,Military Connected,0.61
Penn Cambria SD,108116003,Native Hawaiian or other Pacific Islander ,0
Penn Cambria SD,108116003,Number of Schools,5
Penn Cambria SD,108116003,Percent of Gifted Students,1.47
Penn Cambria SD,108116003,Special Education,17.23
Penn Cambria SD,108116003,Telephone Number,814-886-8121
Penn Cambria SD,108116003,Website,http://www.pcam.org
Penn Cambria SD,108116003,White ,96.26
Penn Hills SD,103027352,2 or More Races,5.79
Penn Hills SD,103027352,American Indian/Alaskan Native ,0.12
Penn Hills SD,103027352,Asian ,0.67
Penn Hills SD,103027352,Black/African American ,64.29
Penn Hills SD,103027352,Career and Technical Center Name,Forbes Road CTC
Penn Hills SD,103027352,Career and Technical Center Website,http://www.forbesroad.com
Penn Hills SD,103027352,Charter School Enrollment,861
Penn Hills SD,103027352,District Address (City),Pittsburgh
Penn Hills SD,103027352,District Address (State),PA
Penn Hills SD,103027352,District Address (Street),260 Aster St
Penn Hills SD,103027352,District Enrollment,3296
Penn Hills SD,103027352,District Name,Penn Hills SD
Penn Hills SD,103027352,District Zip Code,15235
Penn Hills SD,103027352,Economically Disadvantaged,69.6
Penn Hills SD,103027352,English Learner,1.15
Penn Hills SD,103027352,Enrollment in Partnering Career and Technical Center(s),135
Penn Hills SD,103027352,Female,48.54
Penn Hills SD,103027352,Foster Care,1.52
Penn Hills SD,103027352,Geographic Size of District (Square Miles),19.41
Penn Hills SD,103027352,Grades Offered,"PreKF, K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
Penn Hills SD,103027352,Hispanic ,3.13
Penn Hills SD,103027352,Homeless,1.76
Penn Hills SD,103027352,Intermediate Unit Name,Allegheny IU 3
Penn Hills SD,103027352,Intermediate Unit Website,http://www.aiu3.net
Penn Hills SD,103027352,Male,51.46
Penn Hills SD,103027352,Military Connected,0
Penn Hills SD,103027352,Native Hawaiian or other Pacific Islander ,0.12
Penn Hills SD,103027352,Number of Schools,3
Penn Hills SD,103027352,Percent of Gifted Students,2.43
Penn Hills SD,103027352,Special Education,23.45
Penn Hills SD,103027352,Telephone Number,412-793-7000
Penn Hills SD,103027352,Website,http://www.phsd.k12.pa.us
Penn Hills SD,103027352,White ,25.88
Penn Manor SD,113365203,2 or More Races,3.19
Penn Manor SD,113365203,American Indian/Alaskan Native ,0.02
Penn Manor SD,113365203,Asian ,3.08
Penn Manor SD,113365203,Black/African American ,5.23
Penn Manor SD,113365203,Career and Technical Center Name,Lancaster County CTC
Penn Manor SD,113365203,Career and Technical Center Website,http://www.lancasterctc.edu
Penn Manor SD,113365203,Charter School Enrollment,70
Penn Manor SD,113365203,District Address (City),Lancaster
Penn Manor SD,113365203,District Address (State),PA
Penn Manor SD,113365203,District Address (Street),2950 Charlestown Rd
Penn Manor SD,113365203,District Enrollment,5449
Penn Manor SD,113365203,District Name,Penn Manor SD
Penn Manor SD,113365203,District Zip Code,17603
Penn Manor SD,113365203,Economically Disadvantaged,41.55
Penn Manor SD,113365203,English Learner,3.29
Penn Manor SD,113365203,Enrollment in Partnering Career and Technical Center(s),142
Penn Manor SD,113365203,Female,48.91
Penn Manor SD,113365203,Foster Care,0.4
Penn Manor SD,113365203,Geographic Size of District (Square Miles),113.36
Penn Manor SD,113365203,Grades Offered,"K5H, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
Penn Manor SD,113365203,Hispanic ,15.8
Penn Manor SD,113365203,Homeless,1.83
Penn Manor SD,113365203,Intermediate Unit Name,Lancaster-Lebanon IU 13
Penn Manor SD,113365203,Intermediate Unit Website,http://www.iu13.org
Penn Manor SD,113365203,Male,51.09
Penn Manor SD,113365203,Military Connected,0.53
Penn Manor SD,113365203,Native Hawaiian or other Pacific Islander ,0.15
Penn Manor SD,113365203,Number of Schools,10
Penn Manor SD,113365203,Percent of Gifted Students,4.07
Penn Manor SD,113365203,Special Education,16.57
Penn Manor SD,113365203,Telephone Number,717-872-9500
Penn Manor SD,113365203,Website,http://www.pennmanor.net
Penn Manor SD,113365203,White ,72.53
Penncrest SD,105204703,2 or More Races,3.73
Penncrest SD,105204703,American Indian/Alaskan Native ,0.04
Penncrest SD,105204703,Asian ,0.26
Penncrest SD,105204703,Black/African American ,0.6
Penncrest SD,105204703,Career and Technical Center Name,Crawford County CTC
Penncrest SD,105204703,Career and Technical Center Website,http://www.crawfordctc.org
Penncrest SD,105204703,Charter School Enrollment,105
Penncrest SD,105204703,District Address (City),Saegertown
Penncrest SD,105204703,District Address (State),PA
Penncrest SD,105204703,District Address (Street),18741 State Hwy 198
Penncrest SD,105204703,District Enrollment,2681
Penncrest SD,105204703,District Name,Penncrest SD
Penncrest SD,105204703,District Zip Code,16433
Penncrest SD,105204703,Economically Disadvantaged,41.78
Penncrest SD,105204703,English Learner,0.11
Penncrest SD,105204703,Enrollment in Partnering Career and Technical Center(s),191
Penncrest SD,105204703,Female,48.15
Penncrest SD,105204703,Foster Care,0.82
Penncrest SD,105204703,Geographic Size of District (Square Miles),407.75
Penncrest SD,105204703,Grades Offered,"K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
Penncrest SD,105204703,Hispanic ,1.38
Penncrest SD,105204703,Homeless,1.16
Penncrest SD,105204703,Intermediate Unit Name,Northwest Tri-County IU 5
Penncrest SD,105204703,Intermediate Unit Website,http://www.iu5.org
Penncrest SD,105204703,Male,51.85
Penncrest SD,105204703,Military Connected,0
Penncrest SD,105204703,Native Hawaiian or other Pacific Islander ,0
Penncrest SD,105204703,Number of Schools,6
Penncrest SD,105204703,Percent of Gifted Students,0
Penncrest SD,105204703,Special Education,16.64
Penncrest SD,105204703,Telephone Number,814-337-1600
Penncrest SD,105204703,Website,http://www.penncrest.org
Penncrest SD,105204703,White ,93.99
Penn-Delco SD,125236903,2 or More Races,3.52
Penn-Delco SD,125236903,American Indian/Alaskan Native ,0.06
Penn-Delco SD,125236903,Asian ,2.72
Penn-Delco SD,125236903,Black/African American ,7.04
Penn-Delco SD,125236903,Career and Technical Center Name,Delaware County Technical High School
Penn-Delco SD,125236903,Career and Technical Center Website,https://www.dciu.org/domain/185
Penn-Delco SD,125236903,Charter School Enrollment,82
Penn-Delco SD,125236903,District Address (City),Aston
Penn-Delco SD,125236903,District Address (State),PA
Penn-Delco SD,125236903,District Address (Street),2821 Concord Rd
Penn-Delco SD,125236903,District Enrollment,3381
Penn-Delco SD,125236903,District Name,Penn-Delco SD
Penn-Delco SD,125236903,District Zip Code,19014
Penn-Delco SD,125236903,Economically Disadvantaged,26.35
Penn-Delco SD,125236903,English Learner,1.3
Penn-Delco SD,125236903,Enrollment in Partnering Career and Technical Center(s),74
Penn-Delco SD,125236903,Female,50.1
Penn-Delco SD,125236903,Foster Care,0.18
Penn-Delco SD,125236903,Geographic Size of District (Square Miles),7.76
Penn-Delco SD,125236903,Grades Offered,"K5H, K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
Penn-Delco SD,125236903,Hispanic ,3.52
Penn-Delco SD,125236903,Homeless,0.5
Penn-Delco SD,125236903,Intermediate Unit Name,Delaware County IU 25
Penn-Delco SD,125236903,Intermediate Unit Website,http://www.dciu.org
Penn-Delco SD,125236903,Male,49.9
Penn-Delco SD,125236903,Military Connected,0
Penn-Delco SD,125236903,Native Hawaiian or other Pacific Islander ,0.03
Penn-Delco SD,125236903,Number of Schools,6
Penn-Delco SD,125236903,Percent of Gifted Students,3.7
Penn-Delco SD,125236903,Special Education,16.47
Penn-Delco SD,125236903,Telephone Number,610-497-6300
Penn-Delco SD,125236903,Website,http://www.pdsd.org
Penn-Delco SD,125236903,White ,83.11
Pennridge SD,122098103,2 or More Races,3.49
Pennridge SD,122098103,American Indian/Alaskan Native ,0.11
Pennridge SD,122098103,Asian ,2.64
Pennridge SD,122098103,Black/African American ,2.3
Pennridge SD,122098103,Career and Technical Center Name,Upper Bucks County Technical School
Pennridge SD,122098103,Career and Technical Center Website,http://www.ubtech.org
Pennridge SD,122098103,Charter School Enrollment,123
Pennridge SD,122098103,District Address (City),Perkasie
Pennridge SD,122098103,District Address (State),PA
Pennridge SD,122098103,District Address (Street),1200 N 5th St
Pennridge SD,122098103,District Enrollment,6970
Pennridge SD,122098103,District Name,Pennridge SD
Pennridge SD,122098103,District Zip Code,18944
Pennridge SD,122098103,Economically Disadvantaged,22.35
Pennridge SD,122098103,English Learner,2.07
Pennridge SD,122098103,Enrollment in Partnering Career and Technical Center(s),332
Pennridge SD,122098103,Female,49.01
Pennridge SD,122098103,Foster Care,0.26
Pennridge SD,122098103,Geographic Size of District (Square Miles),92.47
Pennridge SD,122098103,Grades Offered,"K5H, K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
Pennridge SD,122098103,Hispanic ,8.06
Pennridge SD,122098103,Homeless,0.6
Pennridge SD,122098103,Intermediate Unit Name,Bucks County IU 22
Pennridge SD,122098103,Intermediate Unit Website,http://www.bucksiu.org
Pennridge SD,122098103,Male,50.99
Pennridge SD,122098103,Military Connected,0
Pennridge SD,122098103,Native Hawaiian or other Pacific Islander ,0.01
Pennridge SD,122098103,Number of Schools,11
Pennridge SD,122098103,Percent of Gifted Students,8.65
Pennridge SD,122098103,Special Education,16.94
Pennridge SD,122098103,Telephone Number,215-257-5011
Pennridge SD,122098103,Website,http://www.pennridge.org/psd/psd.htm
Pennridge SD,122098103,White ,83.39
Penns Manor Area SD,128326303,2 or More Races,1.24
Penns Manor Area SD,128326303,American Indian/Alaskan Native ,0
Penns Manor Area SD,128326303,Asian ,0.87
Penns Manor Area SD,128326303,Black/African American ,0.62
Penns Manor Area SD,128326303,Career and Technical Center Name,Indiana County Technology Center
Penns Manor Area SD,128326303,Career and Technical Center Website,http://www.ictc.edu
Penns Manor Area SD,128326303,Charter School Enrollment,28
Penns Manor Area SD,128326303,District Address (City),Clymer
Penns Manor Area SD,128326303,District Address (State),PA
Penns Manor Area SD,128326303,District Address (Street),6003 Route 553 Hwy
Penns Manor Area SD,128326303,District Enrollment,808
Penns Manor Area SD,128326303,District Name,Penns Manor Area SD
Penns Manor Area SD,128326303,District Zip Code,15728
Penns Manor Area SD,128326303,Economically Disadvantaged,50.74
Penns Manor Area SD,128326303,English Learner,0.37
Penns Manor Area SD,128326303,Enrollment in Partnering Career and Technical Center(s),44
Penns Manor Area SD,128326303,Female,47.4
Penns Manor Area SD,128326303,Foster Care,0.5
Penns Manor Area SD,128326303,Geographic Size of District (Square Miles),81.14
Penns Manor Area SD,128326303,Grades Offered,"PreKH, K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
Penns Manor Area SD,128326303,Hispanic ,0.25
Penns Manor Area SD,128326303,Homeless,0.99
Penns Manor Area SD,128326303,Intermediate Unit Name,ARIN IU 28
Penns Manor Area SD,128326303,Intermediate Unit Website,http://www.iu28.org
Penns Manor Area SD,128326303,Male,52.6
Penns Manor Area SD,128326303,Military Connected,0
Penns Manor Area SD,128326303,Native Hawaiian or other Pacific Islander ,0
Penns Manor Area SD,128326303,Number of Schools,2
Penns Manor Area SD,128326303,Percent of Gifted Students,2.35
Penns Manor Area SD,128326303,Special Education,20.42
Penns Manor Area SD,128326303,Telephone Number,724-254-2666
Penns Manor Area SD,128326303,Website,http://www.pennsmanor.org
Penns Manor Area SD,128326303,White ,97.03
Penns Valley Area SD,110147003,2 or More Races,0.98
Penns Valley Area SD,110147003,American Indian/Alaskan Native ,0.07
Penns Valley Area SD,110147003,Asian ,0.56
Penns Valley Area SD,110147003,Black/African American ,0.63
Penns Valley Area SD,110147003,Career and Technical Center Name,Central PA Institute of Science & Technology
Penns Valley Area SD,110147003,Career and Technical Center Website,http://www.cpi.edu
Penns Valley Area SD,110147003,Charter School Enrollment,86
Penns Valley Area SD,110147003,District Address (City),Spring Mills
Penns Valley Area SD,110147003,District Address (State),PA
Penns Valley Area SD,110147003,District Address (Street),4528 Penns Valley Road
Penns Valley Area SD,110147003,District Enrollment,1429
Penns Valley Area SD,110147003,District Name,Penns Valley Area SD
Penns Valley Area SD,110147003,District Zip Code,16875
Penns Valley Area SD,110147003,Economically Disadvantaged,36.53
Penns Valley Area SD,110147003,English Learner,0.35
Penns Valley Area SD,110147003,Enrollment in Partnering Career and Technical Center(s),71
Penns Valley Area SD,110147003,Female,47.38
Penns Valley Area SD,110147003,Foster Care,0.28
Penns Valley Area SD,110147003,Geographic Size of District (Square Miles),256.01
Penns Valley Area SD,110147003,Grades Offered,"K4F, K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
Penns Valley Area SD,110147003,Hispanic ,1.26
Penns Valley Area SD,110147003,Homeless,0.21
Penns Valley Area SD,110147003,Intermediate Unit Name,Central IU 10
Penns Valley Area SD,110147003,Intermediate Unit Website,http://www.ciu10.org
Penns Valley Area SD,110147003,Male,52.62
Penns Valley Area SD,110147003,Military Connected,0
Penns Valley Area SD,110147003,Native Hawaiian or other Pacific Islander ,0
Penns Valley Area SD,110147003,Number of Schools,4
Penns Valley Area SD,110147003,Percent of Gifted Students,2.87
Penns Valley Area SD,110147003,Special Education,15.12
Penns Valley Area SD,110147003,Telephone Number,814-422-2000
Penns Valley Area SD,110147003,Website,http://www.pennsvalley.org
Penns Valley Area SD,110147003,White ,96.5
Pennsbury SD,122098202,2 or More Races,6.23
Pennsbury SD,122098202,American Indian/Alaskan Native ,0.2
Pennsbury SD,122098202,Asian ,6.64
Pennsbury SD,122098202,Black/African American ,5.92
Pennsbury SD,122098202,Career and Technical Center Name,Bucks County Technical High School
Pennsbury SD,122098202,Career and Technical Center Website,http://www.bcths.com
Pennsbury SD,122098202,Charter School Enrollment,310
Pennsbury SD,122098202,District Address (City),Fallsington
Pennsbury SD,122098202,District Address (State),PA
Pennsbury SD,122098202,District Address (Street),134 Yardley Ave
Pennsbury SD,122098202,District Enrollment,9907
Pennsbury SD,122098202,District Name,Pennsbury SD
Pennsbury SD,122098202,District Zip Code,19058
Pennsbury SD,122098202,Economically Disadvantaged,21.89
Pennsbury SD,122098202,English Learner,2.4
Pennsbury SD,122098202,Enrollment in Partnering Career and Technical Center(s),330
Pennsbury SD,122098202,Female,48.9
Pennsbury SD,122098202,Foster Care,0.16
Pennsbury SD,122098202,Geographic Size of District (Square Miles),47.99
Pennsbury SD,122098202,Grades Offered,"K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
Pennsbury SD,122098202,Hispanic ,6.22
Pennsbury SD,122098202,Homeless,0.36
Pennsbury SD,122098202,Intermediate Unit Name,Bucks County IU 22
Pennsbury SD,122098202,Intermediate Unit Website,http://www.bucksiu.org
Pennsbury SD,122098202,Male,51.1
Pennsbury SD,122098202,Military Connected,0.1
Pennsbury SD,122098202,Native Hawaiian or other Pacific Islander ,0.04
Pennsbury SD,122098202,Number of Schools,15
Pennsbury SD,122098202,Percent of Gifted Students,5.47
Pennsbury SD,122098202,Special Education,20.41
Pennsbury SD,122098202,Telephone Number,215-428-4100
Pennsbury SD,122098202,Website,http://www.pennsburysd.org
Pennsbury SD,122098202,White ,74.76
Penn-Trafford SD,107657103,2 or More Races,2.35
Penn-Trafford SD,107657103,American Indian/Alaskan Native ,0.03
Penn-Trafford SD,107657103,Asian ,1.1
Penn-Trafford SD,107657103,Black/African American ,1.36
Penn-Trafford SD,107657103,Career and Technical Center Name,Central Westmoreland CTC
Penn-Trafford SD,107657103,Career and Technical Center Website,http://www.cwctc.org
Penn-Trafford SD,107657103,Charter School Enrollment,92
Penn-Trafford SD,107657103,District Address (City),Harrison City
Penn-Trafford SD,107657103,District Address (State),PA
Penn-Trafford SD,107657103,District Address (Street),1006 Harrison City-Export Rd
Penn-Trafford SD,107657103,District Enrollment,3828
Penn-Trafford SD,107657103,District Name,Penn-Trafford SD
Penn-Trafford SD,107657103,District Zip Code,15636
Penn-Trafford SD,107657103,Economically Disadvantaged,18.94
Penn-Trafford SD,107657103,English Learner,0.24
Penn-Trafford SD,107657103,Enrollment in Partnering Career and Technical Center(s),87
Penn-Trafford SD,107657103,Female,48.38
Penn-Trafford SD,107657103,Foster Care,0.13
Penn-Trafford SD,107657103,Geographic Size of District (Square Miles),34.02
Penn-Trafford SD,107657103,Grades Offered,"K5H, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
Penn-Trafford SD,107657103,Hispanic ,0.76
Penn-Trafford SD,107657103,Homeless,0.18
Penn-Trafford SD,107657103,Intermediate Unit Name,Westmoreland IU 7
Penn-Trafford SD,107657103,Intermediate Unit Website,http://www.wiu7.org
Penn-Trafford SD,107657103,Male,51.62
Penn-Trafford SD,107657103,Military Connected,0
Penn-Trafford SD,107657103,Native Hawaiian or other Pacific Islander ,0.18
Penn-Trafford SD,107657103,Number of Schools,8
Penn-Trafford SD,107657103,Percent of Gifted Students,4.57
Penn-Trafford SD,107657103,Special Education,11.68
Penn-Trafford SD,107657103,Telephone Number,724-744-4496
Penn-Trafford SD,107657103,Website,http://www.penntrafford.org
Penn-Trafford SD,107657103,White ,94.23
Pequea Valley SD,113365303,2 or More Races,4.52
Pequea Valley SD,113365303,American Indian/Alaskan Native ,0.27
Pequea Valley SD,113365303,Asian ,0.73
Pequea Valley SD,113365303,Black/African American ,3.05
Pequea Valley SD,113365303,Career and Technical Center Name,Lancaster County CTC
Pequea Valley SD,113365303,Career and Technical Center Website,http://www.lancasterctc.edu
Pequea Valley SD,113365303,Charter School Enrollment,18
Pequea Valley SD,113365303,District Address (City),Kinzers
Pequea Valley SD,113365303,District Address (State),PA
Pequea Valley SD,113365303,District Address (Street),166 S New Holland Rd
Pequea Valley SD,113365303,District Enrollment,1506
Pequea Valley SD,113365303,District Name,Pequea Valley SD
Pequea Valley SD,113365303,District Zip Code,17535
Pequea Valley SD,113365303,Economically Disadvantaged,52.52
Pequea Valley SD,113365303,English Learner,4.91
Pequea Valley SD,113365303,Enrollment in Partnering Career and Technical Center(s),50
Pequea Valley SD,113365303,Female,48.41
Pequea Valley SD,113365303,Foster Care,0.6
Pequea Valley SD,113365303,Geographic Size of District (Square Miles),81.28
Pequea Valley SD,113365303,Grades Offered,"K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
Pequea Valley SD,113365303,Hispanic ,12.28
Pequea Valley SD,113365303,Homeless,1.73
Pequea Valley SD,113365303,Intermediate Unit Name,Lancaster-Lebanon IU 13
Pequea Valley SD,113365303,Intermediate Unit Website,http://www.iu13.org
Pequea Valley SD,113365303,Male,51.59
Pequea Valley SD,113365303,Military Connected,0.2
Pequea Valley SD,113365303,Native Hawaiian or other Pacific Islander ,0
Pequea Valley SD,113365303,Number of Schools,4
Pequea Valley SD,113365303,Percent of Gifted Students,2.12
Pequea Valley SD,113365303,Special Education,19.26
Pequea Valley SD,113365303,Telephone Number,717-768-5530
Pequea Valley SD,113365303,Website,http://www.pequeavalley.org
Pequea Valley SD,113365303,White ,79.15
